number,date_time,acc_x,acc_y,acc_z
104,11/22/24 07:45:00 PM,-1.025,-0.15,0.1
105,11/22/24 08:00:00 PM,-1,-0.175,0.1
106,11/22/24 08:15:00 PM,-1.1,-0.25,0.1
107,11/22/24 08:30:00 PM,-1.05,-0.2,0.125
108,11/22/24 08:45:00 PM,-1.05,-0.15,0.075
109,11/22/24 09:00:00 PM,-1.025,-0.225,0.05
110,11/22/24 09:15:00 PM,-1.075,-0.2,0.05
111,11/22/24 09:30:00 PM,-1.05,-0.175,0.075
112,11/22/24 09:45:00 PM,-1.05,-0.2,0.05
113,11/22/24 10:00:00 PM,-1.025,-0.2,0.025
114,11/22/24 10:15:00 PM,-1,-0.2,0.05
115,11/22/24 10:30:00 PM,-1.025,-0.2,0.1
116,11/22/24 10:45:00 PM,-1.025,-0.175,0.05
117,11/22/24 11:00:00 PM,-1.1,-0.175,0.075
118,11/22/24 11:15:00 PM,-1.075,-0.325,0.175
119,11/22/24 11:30:00 PM,-0.975,-0.2,0.075
120,11/22/24 11:45:00 PM,-1.1,-0.2,0.05
121,11/23/24 12:00:00 AM,-0.775,-0.2,0.3
122,11/23/24 12:15:00 AM,-1.1,-0.2,0.05
123,11/23/24 12:30:00 AM,-1.025,-0.15,0.025
124,11/23/24 12:45:00 AM,-1.025,-0.175,0.075
125,11/23/24 01:00:00 AM,-1,-0.25,0
126,11/23/24 01:15:00 AM,-1.025,-0.275,0.125
127,11/23/24 01:30:00 AM,-1.075,-0.2,-0.1
128,11/23/24 01:45:00 AM,-1.1,-0.325,-0.025
129,11/23/24 02:00:00 AM,-1.05,-0.25,-0.1
130,11/23/24 02:15:00 AM,-1,-0.25,0.1
131,11/23/24 02:30:00 AM,-1,-0.2,0.025
132,11/23/24 02:45:00 AM,-0.9,-0.175,-0.125
133,11/23/24 03:00:00 AM,-1,-0.225,0.05
134,11/23/24 03:15:00 AM,-1,-0.25,-0.05
135,11/23/24 03:30:00 AM,-1.05,-0.375,-0.1
136,11/23/24 03:45:00 AM,-1.05,-0.3,-0.225
137,11/23/24 04:00:00 AM,-0.925,-0.45,0.425
138,11/23/24 04:15:00 AM,-1,0.025,-0.175
139,11/23/24 04:30:00 AM,-0.975,-0.275,0
140,11/23/24 04:45:00 AM,-0.825,-0.125,-0.525
141,11/23/24 05:00:00 AM,-1.125,-0.225,0
142,11/23/24 05:15:00 AM,-0.975,-0.55,0.025
143,11/23/24 05:30:00 AM,-1.1,-0.375,-0.025
144,11/23/24 05:45:00 AM,-0.95,-0.475,0.1
145,11/23/24 06:00:00 AM,-0.85,-0.625,0.275
146,11/23/24 06:15:00 AM,-1.075,-0.125,0.475
147,11/23/24 06:30:00 AM,-0.575,-0.5,-0.675
148,11/23/24 06:45:00 AM,-0.9,-0.525,-0.175
149,11/23/24 07:00:00 AM,-1,-0.1,-0.4
150,11/23/24 07:15:00 AM,-0.75,0.025,-0.625
151,11/23/24 07:30:00 AM,-0.925,-0.25,-0.45
152,11/23/24 07:45:00 AM,-0.975,-0.475,-0.25
153,11/23/24 08:00:00 AM,0.025,-1.3,-0.075
154,11/23/24 08:15:00 AM,-0.425,-0.5,-0.775
155,11/23/24 08:30:00 AM,0.15,0.525,0.85
156,11/23/24 08:45:00 AM,-0.925,-0.375,-0.4
157,11/23/24 09:00:00 AM,-0.175,0.025,1.05
158,11/23/24 09:15:00 AM,-0.8,-0.375,0.5
159,11/23/24 09:30:00 AM,-0.525,-0.325,0.875
160,11/23/24 09:45:00 AM,-0.575,-0.975,0.125
161,11/23/24 10:00:00 AM,-1.075,-0.15,-0.3
162,11/23/24 10:15:00 AM,-0.6,-0.15,-0.825
163,11/23/24 10:30:00 AM,-0.975,-0.3,-0.425
164,11/23/24 10:45:00 AM,-1.025,-0.475,-0.075
165,11/23/24 11:00:00 AM,-0.975,0.025,-0.425
166,11/23/24 11:15:00 AM,-0.975,0.075,-0.45
167,11/23/24 11:30:00 AM,-0.825,-0.325,-0.525
168,11/23/24 11:45:00 AM,-1,-0.275,-0.325
169,11/23/24 12:00:00 PM,-0.975,-0.3,-0.1
170,11/23/24 12:15:00 PM,-0.95,-0.475,-0.2
171,11/23/24 12:30:00 PM,-1.025,-0.325,0.025
172,11/23/24 12:45:00 PM,-1.05,-0.4,-0.225
173,11/23/24 01:00:00 PM,-0.975,-0.25,-0.175
174,11/23/24 01:15:00 PM,-1.025,-0.25,-0.025
175,11/23/24 01:30:00 PM,-1,-0.225,-0.25
176,11/23/24 01:45:00 PM,-1,-0.25,-0.175
177,11/23/24 02:00:00 PM,-1.075,-0.275,0
178,11/23/24 02:15:00 PM,-1.125,-0.275,0.025
179,11/23/24 02:30:00 PM,-1.075,-0.225,0.075
180,11/23/24 02:45:00 PM,-1.025,-0.15,0.075
181,11/23/24 03:00:00 PM,-0.975,-0.175,0.025
182,11/23/24 03:15:00 PM,-1,-0.25,0.075
183,11/23/24 03:30:00 PM,-1,-0.125,-0.075
184,11/23/24 03:45:00 PM,-1.05,-0.275,-0.225
185,11/23/24 04:00:00 PM,-0.975,0.05,-0.15
186,11/23/24 04:15:00 PM,-0.95,-0.35,-0.15
187,11/23/24 04:30:00 PM,-0.9,-0.225,-0.3
188,11/23/24 04:45:00 PM,-1.075,-0.35,-0.125
189,11/23/24 05:00:00 PM,-1,-0.075,-0.125
190,11/23/24 05:15:00 PM,-1,-0.3,-0.125
191,11/23/24 05:30:00 PM,-1.05,-0.25,0.025
192,11/23/24 05:45:00 PM,-1.1,-0.175,-0.075
193,11/23/24 06:00:00 PM,-1.025,-0.2,0.025
194,11/23/24 06:15:00 PM,-0.975,-0.225,0
195,11/23/24 06:30:00 PM,-1.075,-0.25,0
196,11/23/24 06:45:00 PM,-1,-0.1,-0.125
197,11/23/24 07:00:00 PM,-1.025,-0.325,0.025
198,11/23/24 07:15:00 PM,-1.025,-0.225,-0.125
199,11/23/24 07:30:00 PM,-1.1,-0.225,0
200,11/23/24 07:45:00 PM,-0.975,-0.175,0.1
201,11/23/24 08:00:00 PM,0.35,-0.425,-0.45
202,11/23/24 08:15:00 PM,-0.975,-0.375,-0.075
203,11/23/24 08:30:00 PM,-0.925,-0.425,0.2
204,11/23/24 08:45:00 PM,-0.675,-0.525,-0.625
205,11/23/24 09:00:00 PM,-0.95,-0.275,0.3
206,11/23/24 09:15:00 PM,-0.975,-0.3,-0.025
207,11/23/24 09:30:00 PM,-1.175,-0.175,0.15
208,11/23/24 09:45:00 PM,-0.85,-0.2,0.475
209,11/23/24 10:00:00 PM,-0.85,-0.6,0.325
210,11/23/24 10:15:00 PM,-0.575,-0.95,-0.325
211,11/23/24 10:30:00 PM,-1,-0.2,0.1
212,11/23/24 10:45:00 PM,-1.05,-0.075,0.1
213,11/23/24 11:00:00 PM,-1.1,-0.1,-0.025
214,11/23/24 11:15:00 PM,0.325,-0.8,-0.575
215,11/23/24 11:30:00 PM,-1,-0.1,0.025
216,11/23/24 11:45:00 PM,-0.6,-0.725,0.55
217,11/24/24 12:00:00 AM,-0.825,-0.325,0.425
218,11/24/24 12:15:00 AM,-1.075,0.15,-0.175
219,11/24/24 12:30:00 AM,0.95,0.175,-0.075
220,11/24/24 12:45:00 AM,0.75,0.025,0.9
221,11/24/24 01:00:00 AM,-1.175,-0.35,0.025
222,11/24/24 01:15:00 AM,-0.65,-0.5,0.575
223,11/24/24 01:30:00 AM,-0.425,-0.425,0.875
224,11/24/24 01:45:00 AM,-1.05,0.175,0.2
225,11/24/24 02:00:00 AM,-1.075,-0.2,-0.125
226,11/24/24 02:15:00 AM,-1.075,-0.275,0.125
227,11/24/24 02:30:00 AM,-1,-0.2,0.2
228,11/24/24 02:45:00 AM,-0.675,-0.5,0.65
229,11/24/24 03:00:00 AM,-1.1,0.075,0.375
230,11/24/24 03:15:00 AM,-1.1,0.225,-0.1
231,11/24/24 03:30:00 AM,0.875,-0.7,-0.475
232,11/24/24 03:45:00 AM,-0.575,-0.75,0.475
233,11/24/24 04:00:00 AM,-0.7,-0.55,0.525
234,11/24/24 04:15:00 AM,-1.125,-0.025,0.175
235,11/24/24 04:30:00 AM,-0.925,-0.6,-0.05
236,11/24/24 04:45:00 AM,0.525,-0.975,-0.275
237,11/24/24 05:00:00 AM,-0.975,-0.5,0.175
238,11/24/24 05:15:00 AM,0.45,-0.35,0.8
239,11/24/24 05:30:00 AM,-0.825,0.025,0.525
240,11/24/24 05:45:00 AM,-0.075,-0.25,1
241,11/24/24 06:00:00 AM,-0.975,0.25,0.25
242,11/24/24 06:15:00 AM,-1.075,-0.275,0.025
243,11/24/24 06:30:00 AM,-1.275,-0.15,-0.325
244,11/24/24 06:45:00 AM,-0.925,-0.275,0.425
245,11/24/24 07:00:00 AM,-0.9,-0.5,0.35
246,11/24/24 07:15:00 AM,-0.875,0.225,-0.1
247,11/24/24 07:30:00 AM,0.2,-0.625,-0.775
248,11/24/24 07:45:00 AM,-0.575,-0.125,-0.875
249,11/24/24 08:00:00 AM,-1.025,-0.125,-0.4
