"number","date_time","acc_x","acc_y","acc_z","datetime","v_x","v_y","v_z","v_total","v_x_smooth","v_y_smooth","v_z_smooth","v_total_smooth"
291,"11/24/24 06:30:00 PM",-6.62175,5.3955,6.3765,2024-11-24 18:30:00,-2240138.025,-630169.875,163005.4125,2332788.71887548,-2236726.82045455,-627310.482954545,163607.389772727,2328799.27244829
292,"11/24/24 06:45:00 PM",-8.58375,8.829,-3.67875,2024-11-24 18:45:00,-2246980.5,-623768.85,164219.4,2337729.01700495,-2241572.7375,-629036.151136364,165613.980681818,2334061.77637686
293,"11/24/24 07:00:00 PM",-3.924,-2.69775,8.829,2024-11-24 19:00:00,-2252608.9875,-621009.7875,166537.0125,2342570.16613569,-2246037.40227273,-631353.763636363,167239.319318182,2339094.90341277
294,"11/24/24 07:15:00 PM",-0.24525,1.4715,-0.981,2024-11-24 19:15:00,-2254485.15,-621561.6,170068.6125,2344774.07165867,-2250311.44090909,-633992.430681818,168724.196590909,2344024.52456424
295,"11/24/24 07:30:00 PM",-6.867,-12.2625,5.64075,2024-11-24 19:30:00,-2257685.6625,-626417.55,172165.5,2349294.45940613,-2254113.93068182,-636470.570454545,170710.721590909,2348495.64328451
296,"11/24/24 07:45:00 PM",-5.15025,-8.58375,2.943,2024-11-24 19:45:00,-2263093.425,-635798.3625,176028.1875,2357290.25171498,-2256572.00454546,-638978.809090909,172757.444318182,2351691.56744888
297,"11/24/24 08:00:00 PM",8.58375,-9.56475,-1.962,2024-11-24 20:00:00,-2261548.35,-643965.1875,176469.6375,2358057.17383167,-2258398.00227273,-641818.135227273,173971.431818182,2354311.0400802
298,"11/24/24 08:15:00 PM",-2.4525,-10.3005,-3.18825,2024-11-24 20:15:00,-2258789.2875,-652904.55,174152.025,2357698.52282837,-2260454.75795455,-645209.273863636,175145.2875,2357294.5691565
299,"11/24/24 08:30:00 PM",-9.56475,1.22625,6.13125,2024-11-24 20:30:00,-2264197.05,-656987.9625,175476.375,2364109.43534384,-2262571.71136364,-649382.982954545,176068.319318182,2360531.1129974
300,"11/24/24 08:45:00 PM",8.829,0,7.11225,2024-11-24 20:45:00,-2264528.1375,-656436.15,181435.95,2364723.05112215,-2264598.36818182,-653887.779545454,176128.517045455,2363711.75891203
301,"11/24/24 09:00:00 PM",5.15025,-7.3575,-8.58375,2024-11-24 21:00:00,-2258237.475,-659747.025,180773.775,2359572.37401578,-2266354.13522727,-657860.829545454,176018.154545455,2366476.65382861
302,"11/24/24 09:15:00 PM",-9.56475,3.67875,-1.22625,2024-11-24 21:15:00,-2260224,-661402.4625,176359.275,2361602.91781993,-2267618.2875,-661021.210227272,176369.307954545,2368585.85784007
303,"11/24/24 09:30:00 PM",-11.2815,-2.943,2.943,2024-11-24 21:30:00,-2269604.8125,-661071.375,177131.8125,2370547.83684428,-2269243.62613637,-663810.371590909,176941.186363636,2370961.08002783
304,"11/24/24 09:45:00 PM",-2.69775,-10.05525,-3.924,2024-11-24 21:45:00,-2275895.475,-666920.5875,176690.3625,2378172.14838565,-2271370.6125,-666358.742045454,177904.35,2373784.95163004
305,"11/24/24 10:00:00 PM",0.73575,0.73575,-9.3195,2024-11-24 22:00:00,-2276778.375,-671114.3625,170730.7875,2379761.17671959,-2273407.30227273,-668646.255681818,178887.579545455,2376451.77627794
306,"11/24/24 10:15:00 PM",-1.22625,1.4715,9.81,2024-11-24 22:15:00,-2276999.1,-670121.1,170951.5125,2379708.30348849,-2276126.23295455,-670482.286363636,179178.535227273,2379589.82940001
307,"11/24/24 10:30:00 PM",1.22625,-2.4525,10.05525,2024-11-24 22:30:00,-2276999.1,-670562.55,179890.875,2380491.49584106,-2280049.11818182,-671977.196590909,179750.413636364,2383806.43683219
308,"11/24/24 10:45:00 PM",-6.62175,-6.62175,-3.67875,2024-11-24 22:45:00,-2279427.075,-674645.9625,182760.3,2384184.61789701,-2284192.72840909,-673873.425,180573.115909091,2388366.19039022
309,"11/24/24 11:00:00 PM",0.4905,-7.3575,8.09325,2024-11-24 23:00:00,-2282186.1375,-680936.625,184746.825,2388761.11045269,-2287804.59204546,-676451.894318182,180974.434090909,2392578.19950971
310,"11/24/24 11:15:00 PM",-10.3005,4.65975,-4.65975,2024-11-24 23:15:00,-2286600.6375,-682150.6125,186291.9,2393444.50647078,-2291456.5875,-679170.825,181415.884090909,2396874.12621613
311,"11/24/24 11:30:00 PM",-7.11225,7.60275,0.981,2024-11-24 23:30:00,-2294436.375,-676632.4875,184636.4625,2399241.63546486,-2295469.76931818,-681990.085227273,182790.398863636,2401615.31504879
312,"11/24/24 11:45:00 PM",-8.3385,-6.62175,4.4145,2024-11-24 23:45:00,-2301389.2125,-676191.0375,187064.4375,2405955.05576972,-2299362.55568182,-685280.894318182,184144.847727273,2406375.9836112
313,"11/25/24 12:00:00 AM",-1.4715,-6.867,-8.09325,2024-11-25,-2305803.7125,-682260.975,185409,2411760.20695834,-2303506.16590909,-688802.461363636,184385.638636364,2411360.6865427
314,"11/25/24 12:15:00 AM",-6.3765,-9.07425,-0.4905,2024-11-25 00:15:00,-2309335.3125,-689434.5375,181546.3125,2416879.93715858,-2308301.91818182,-692013.006818182,184606.363636364,2416877.8472189
315,"11/25/24 12:30:00 AM",-8.58375,-7.3575,0.4905,2024-11-25 00:30:00,-2316067.425,-696828.825,181546.3125,2425427.3421563,-2313659.51590909,-694882.431818182,185067.879545455,2422853.38575911
316,"11/25/24 12:45:00 AM",-2.20725,-4.4145,9.07425,2024-11-25 00:45:00,-2320923.375,-702126.225,185850.45,2431914.2538789,-2319267.9375,-697872.252272727,185760.153409091,2429121.10135925
317,"11/25/24 01:00:00 AM",4.65975,-4.905,-9.07425,2024-11-25 01:00:00,-2319819.75,-706320,185850.45,2432075.657675,-2324776.02954546,-701383.786363636,186512.625,2435444.27177119
318,"11/25/24 01:15:00 AM",-10.791,-1.71675,1.71675,2024-11-25 01:15:00,-2322578.8125,-709299.7875,182539.575,2435323.22808752,-2330384.45113637,-705035.781818182,186703.251136364,2441858.57761253
319,"11/25/24 01:30:00 AM",-10.54575,0.24525,4.16925,2024-11-25 01:30:00,-2332180.35,-709961.9625,185188.275,2444873.38533521,-2335812.27954546,-708487.118181818,187174.8,2448067.48477368
320,"11/25/24 01:45:00 AM",-9.3195,-5.886,6.13125,2024-11-25 01:45:00,-2341119.7125,-712500.3,189823.5,2454492.03439498,-2340698.32840909,-711958.520454545,188047.667045455,2453800.61616642
321,"11/25/24 02:00:00 AM",-6.62175,0.24525,2.943,2024-11-25 02:00:00,-2348293.275,-715038.6375,193906.9125,2462389.37807232,-2345333.55340909,-715068.736363636,188669.710227273,2459173.05725036
322,"11/25/24 02:15:00 AM",-8.3385,-0.73575,-5.15025,2024-11-25 02:15:00,-2355025.3875,-715259.3625,192913.65,2468796.50999627,-2350039.00909091,-717536.843181818,188509.182954545,2464366.96620772
323,"11/25/24 02:30:00 AM",-9.56475,-1.71675,-3.18825,2024-11-25 02:30:00,-2363081.85,-716362.9875,189161.325,2476512.4200244,-2354553.83863636,-719663.829545454,187847.007954545,2469244.05122165
324,"11/25/24 02:45:00 AM",4.16925,-6.867,6.3765,2024-11-25 02:45:00,-2365509.825,-720225.675,190596.0375,2480058.18573102,-2358878.04204546,-721630.288636364,187495.854545455,2473916.4214025
325,"11/25/24 03:00:00 AM",1.22625,-9.56475,-5.15025,2024-11-25 03:00:00,-2363081.85,-727619.9625,191147.85,2479944.38247868,-2362911.28977273,-723737.209090909,186783.514772727,2478325.61778752
326,"11/25/24 03:15:00 AM",-10.05525,1.962,-0.981,2024-11-25 03:15:00,-2367054.9,-731041.2,188388.7875,2484524.19407966,-2366061.6375,-726265.513636364,185057.846590909,2481944.80528687
327,"11/25/24 03:30:00 AM",-2.4525,1.962,-8.58375,2024-11-25 03:30:00,-2372683.3875,-729275.4,184084.65,2489047.2524099,-2368780.56818182,-728994.477272727,182599.772727273,2485160.18291352
328,"11/25/24 03:45:00 AM",9.56475,-2.943,-3.67875,2024-11-25 03:45:00,-2369482.875,-729716.85,178566.525,2485723.59282821,-2371740.28977273,-731843.836363636,180051.402272727,2488635.06422635
329,"11/25/24 04:00:00 AM",-11.03625,0.24525,3.924,2024-11-25 04:00:00,-2370145.05,-730930.8375,178676.8875,2486719.30007684,-2374559.55,-735134.645454545,177844.152272727,2492133.84535413
330,"11/25/24 04:15:00 AM",-3.18825,-5.15025,-6.867,2024-11-25 04:15:00,-2376546.075,-733138.0875,177352.5375,2493374.54557047,-2377388.84318182,-738345.190909091,175265.682954545,2495595.44672781
331,"11/25/24 04:30:00 AM",4.905,-10.791,-7.60275,2024-11-25 04:30:00,-2375773.5375,-740311.65,170841.15,2494303.09688785,-2380589.35568182,-740883.528409091,171874.544318182,2499162.80112762
332,"11/25/24 04:45:00 AM",-10.3005,0.24525,-1.22625,2024-11-25 04:45:00,-2378201.5125,-745057.2375,166868.1,2497758.53196542,-2383870.13181818,-743291.4375,168543.603409091,2502776.70284878
333,"11/25/24 05:00:00 AM",-10.54575,-3.67875,-3.18825,2024-11-25 05:00:00,-2387582.325,-746602.3125,164881.575,2507020.20443738,-2387411.76477273,-746110.697727273,165904.936363636,2506808.3860057
334,"11/25/24 05:15:00 AM",-3.924,-9.56475,3.18825,2024-11-25 05:15:00,-2394093.7125,-752561.8875,164881.575,2514999.01243004,-2392137.28636364,-749220.913636363,163888.3125,2512098.98225145
335,"11/25/24 05:30:00 AM",-1.71675,2.943,-9.07425,2024-11-25 05:30:00,-2396632.05,-755541.675,162232.875,2518135.80084152,-2397645.37840909,-752481.623863636,161921.853409091,2518183.29451967
336,"11/25/24 05:45:00 AM",-1.962,-2.943,-9.56475,2024-11-25 05:45:00,-2398287.4875,-755541.675,153845.325,2519185.28087658,-2403344.09659091,-755621.938636363,160276.448863636,2524434.48225495
337,"11/25/24 06:00:00 AM",-8.829,-1.4715,4.905,2024-11-25 06:00:00,-2403143.4375,-757528.2,151748.4375,2524277.11301241,-2409604.66022727,-758049.913636363,159845.031818182,2531090.75826916
338,"11/25/24 06:15:00 AM",-10.05525,-4.65975,2.4525,2024-11-25 06:15:00,-2411641.35,-760287.2625,155059.3125,2533395.76713599,-2415514.07045455,-759875.911363636,159925.295454545,2537267.58909825
339,"11/25/24 06:30:00 AM",-11.772,-3.4335,0.4905,2024-11-25 06:30:00,-2421463.6125,-763929.225,156383.6625,2543920.15153141,-2420761.30568182,-761551.414772727,159744.702272727,2542752.56708086
340,"11/25/24 06:45:00 AM",-8.829,-2.943,0.981,2024-11-25 06:45:00,-2430734.0625,-766798.65,157045.8375,2553646.73502731,-2426229.26590909,-762875.764772727,159373.482954545,2548331.07632009
341,"11/25/24 07:00:00 AM",-10.05525,0.981,3.924,2024-11-25 07:00:00,-2439231.975,-767681.55,159253.0875,2562137.61065855,-2432108.57727273,-764009.488636364,159283.186363636,2554262.52758821
342,"11/25/24 07:15:00 AM",-1.962,0.4905,11.2815,2024-11-25 07:15:00,-2444639.7375,-767019.375,166095.5625,2567522.13304416,-2438339.04204546,-765203.410227273,159804.9,2560585.10494033
343,"11/25/24 07:30:00 AM",5.15025,3.67875,-7.60275,2024-11-25 07:30:00,-2443205.025,-765143.2125,167751,2565703.6710854,-2444679.86931818,-766136.475,160226.284090909,2566929.1875552
344,"11/25/24 07:45:00 AM",-9.81,-3.4335,-3.18825,2024-11-25 07:45:00,-2445301.9125,-765032.85,162895.05,2567354.96224612,-2450498.98295455,-766497.661363636,160687.8,2572609.48883595
345,"11/25/24 08:00:00 AM",-10.05525,-1.22625,-1.4715,2024-11-25 08:00:00,-2454241.275,-767129.7375,160798.1625,2576362.6140615,-2455786.35,-766397.331818182,161470.370454545,2577666.80790019
346,"11/25/24 08:15:00 AM",-5.64075,-0.73575,2.4525,2024-11-25 08:15:00,-2461304.475,-768012.6375,161239.6125,2583381.76479085,-2460682.43181818,-766487.628409091,162082.380681818,2582396.26086457
347,"11/25/24 08:30:00 AM",-6.62175,-0.73575,-6.13125,2024-11-25 08:30:00,-2466822.6,-768674.8125,159584.175,2588733.63174992,-2465327.68977273,-767039.440909091,162343.2375,2587001.82491003
348,"11/25/24 08:45:00 AM",-6.867,2.69775,-0.981,2024-11-25 08:45:00,-2472892.5375,-767791.9125,156383.6625,2594062.02177599,-2470304.03522727,-767982.538636363,162062.314772727,2592005.06733872
349,"11/25/24 09:00:00 AM",0.73575,5.15025,9.3195,2024-11-25 09:00:00,-2475651.6,-764260.3125,160135.9875,2595879.08122427,-2475420.84204546,-769326.954545454,161941.919318182,2597271.21515932
350,"11/25/24 09:15:00 AM",-9.56475,-1.962,1.4715,2024-11-25 09:15:00,-2479624.65,-762825.6,164991.9375,2599550.66123801,-2480397.1875,-770801.798863636,162674.325,2602497.28545209
351,"11/25/24 09:30:00 AM",-1.4715,-9.07425,-4.16925,2024-11-25 09:30:00,-2484590.9625,-767791.9125,163777.95,2605670.71763554,-2485483.89545455,-772146.214772727,163657.554545454,2607805.56076973
352,"11/25/24 09:45:00 AM",-11.2815,-4.16925,0.4905,2024-11-25 09:45:00,-2490329.8125,-773751.4875,162122.5125,2612798.81515858,-2490791.32840909,-773671.223863636,164450.157954545,2613365.47808478
353,"11/25/24 10:00:00 AM",-8.829,-3.924,1.4715,2024-11-25 10:00:00,-2499379.5375,-777393.45,163005.4125,2622557.79975979,-2496279.35454546,-775707.913636363,165413.321590909,2619260.1379857
354,"11/25/24 10:15:00 AM",8.58375,-1.71675,6.13125,2024-11-25 10:15:00,-2499489.9,-779931.7875,166426.65,2623631.29711192,-2501978.07272727,-778015.493181818,166878.132954545,2625466.98527038
355,"11/25/24 10:30:00 AM",-9.81,-1.22625,3.924,2024-11-25 10:30:00,-2500041.7125,-781256.1375,170951.5125,2624841.73546662,-2507446.03295455,-780603.995454545,168021.889772727,2631517.10455892
356,"11/25/24 10:45:00 AM",-12.753,-0.24525,-2.4525,2024-11-25 10:45:00,-2510195.0625,-781918.3125,171613.6875,2634753.64255552,-2512382.24659091,-783393.156818182,168914.822727273,2637104.38415976
357,"11/25/24 11:00:00 AM",-8.3385,-6.13125,-1.22625,2024-11-25 11:00:00,-2519686.2375,-784787.7375,169958.25,2644540.85525642,-2517348.55909091,-785831.164772727,169908.085227273,2642623.14420362
358,"11/25/24 11:15:00 AM",-8.3385,-7.848,1.71675,2024-11-25 11:15:00,-2527190.8875,-791078.4,170178.975,2653574.89066008,-2522525.56363636,-787978.217045454,170740.820454545,2648246.01220326
359,"11/25/24 11:30:00 AM",-10.3005,3.18825,3.4335,2024-11-25 11:30:00,-2535578.4375,-793175.2875,172496.5875,2662337.34190744,-2527070.49204546,-790125.269318182,171312.698863636,2653250.6053774
360,"11/25/24 11:45:00 AM",9.81,-2.20725,-2.943,2024-11-25 11:45:00,-2535799.1625,-792733.8375,172717.3125,2662430.39339818,-2531705.71704546,-792161.959090909,171563.522727273,2658288.53010173
361,"11/25/24 12:00:00 PM",-5.64075,0.4905,7.60275,2024-11-25 12:00:00,-2533923,-793506.375,174814.2,2661010.73684724,-2537003.11704546,-794168.55,171352.830681818,2663918.49483034
362,"11/25/24 12:15:00 PM",-6.13125,-2.943,-7.848,2024-11-25 12:15:00,-2539220.4,-794610,174703.8375,2666377.07811806,-2542079.79204546,-796425.964772727,171091.973863636,2669409.74711767
363,"11/25/24 12:30:00 PM",-11.772,-3.18825,0.24525,2024-11-25 12:30:00,-2547276.8625,-797369.0625,171282.6,2674650.36315454,-2547036.07159091,-798653.280681818,171152.171590909,2674797.90523562
364,"11/25/24 12:45:00 PM",7.11225,-4.905,-4.65975,2024-11-25 12:45:00,-2549373.75,-801011.025,169296.075,2677608.3246754,-2551330.17613636,-800579.607954545,171051.842045454,2679456.28212039
365,"11/25/24 01:00:00 PM",-9.56475,1.962,4.4145,2024-11-25 13:00:00,-2550477.375,-802335.375,169185.7125,2679048.46907954,-2554641.05113636,-802867.121590909,170459.897727273,2683257.01056833
366,"11/25/24 01:15:00 PM",-7.848,-4.16925,-5.64075,2024-11-25 13:15:00,-2558313.1125,-803328.6375,168633.9,2686771.34748126,-2558192.71704546,-805555.953409091,169306.107954545,2687374.22303323
367,"11/25/24 01:30:00 PM",-9.3195,-3.4335,5.886,2024-11-25 13:30:00,-2566038.4875,-806749.875,168744.2625,2695157.41771617,-2562155.73409091,-807793.302272727,167730.934090909,2691720.55196083
368,"11/25/24 01:45:00 PM",-8.829,-2.20725,-1.71675,2024-11-25 13:45:00,-2574205.3125,-809288.2125,170620.425,2703810.59455389,-2565637.16931818,-809529.003409091,166657.407954545,2695487.20812092
369,"11/25/24 02:00:00 PM",8.3385,-4.4145,-1.71675,2024-11-25 14:00:00,-2574426.0375,-812268,169075.35,2704817.03639259,-2568637.02272727,-811254.671590909,166356.419318182,2698841.06833972
370,"11/25/24 02:15:00 PM",-2.943,-9.07425,-5.15025,2024-11-25 14:15:00,-2571998.0625,-818337.9375,165985.2,2704145.35483479,-2572238.85340909,-813050.570454545,166436.682954545,2702813.593808
371,"11/25/24 02:30:00 PM",-3.4335,0.24525,-8.09325,2024-11-25 14:30:00,-2574867.4875,-822310.9875,160025.625,2707719.73051208,-2576462.72727273,-815157.490909091,166827.968181818,2707491.58857548
372,"11/25/24 02:45:00 PM",-2.4525,9.07425,2.4525,2024-11-25 14:45:00,-2577516.1875,-818117.2125,157487.2875,2708820.35505078,-2580626.40340909,-817505.202272727,167570.406818182,2712207.12464602
373,"11/25/24 03:00:00 PM",2.4525,0.73575,9.56475,2024-11-25 15:00:00,-2577516.1875,-813702.7125,162895.05,2707810.29587911,-2584850.27727273,-819662.2875,168352.977272727,2716925.05596271
374,"11/25/24 03:15:00 PM",-8.58375,-6.62175,1.71675,2024-11-25 15:15:00,-2580275.25,-816351.4125,167971.725,2711542.82556127,-2589134.34886364,-821919.702272727,168884.723863636,2721714.61563783
375,"11/25/24 03:30:00 PM",-10.791,-3.18825,3.18825,2024-11-25 15:30:00,-2588993.8875,-820765.9125,170178.975,2721306.10482657,-2594110.69431818,-824518.2375,169587.030681818,2727277.48208022
376,"11/25/24 03:45:00 PM",-6.867,-7.3575,4.16925,2024-11-25 15:45:00,-2596939.9875,-825511.5,173489.85,2730506.41152182,-2600020.10454546,-826976.311363636,170770.919318182,2733716.48766776
377,"11/25/24 04:00:00 PM",-9.07425,-0.73575,3.18825,2024-11-25 16:00:00,-2604113.55,-829153.4625,176800.725,2738642.24425716,-2606451.22840909,-829243.759090909,172817.642045455,2740647.03578606
378,"11/25/24 04:15:00 PM",-9.56475,-2.20725,-1.962,2024-11-25 16:15:00,-2612501.1,-830477.8125,177352.5375,2747054.66219981,-2613343.86818182,-832333.909090909,175215.518181818,2748287.26868304
379,"11/25/24 04:30:00 PM",-10.05525,-5.886,0,2024-11-25 16:30:00,-2621330.1,-834119.775,176469.6375,2756495.75098012,-2620778.2875,-836226.695454545,176820.790909091,2756636.98837871
380,"11/25/24 04:45:00 PM",-7.3575,-9.07425,0.73575,2024-11-25 16:45:00,-2629165.8375,-840851.8875,176800.725,2766008.56725895,-2628583.92613636,-840089.382954545,177834.119318182,2765294.34975522
381,"11/25/24 05:00:00 PM",-10.05525,-0.981,4.16925,2024-11-25 17:00:00,-2637001.575,-845376.75,179007.975,2774974.41629768,-2636309.30113636,-844022.301136364,178827.381818182,2773896.73647761
382,"11/25/24 05:15:00 PM",-9.07425,-3.18825,3.67875,2024-11-25 17:15:00,-2645609.85,-847252.9125,182539.575,2783955.75981335,-2643994.54431818,-847965.252272727,179790.545454545,2782463.63368798
383,"11/25/24 05:30:00 PM",-8.09325,-7.60275,-0.73575,2024-11-25 17:30:00,-2653335.225,-852108.8625,183863.925,2792862.91691756,-2651810.21590909,-851797.840909091,180854.038636364,2791128.07409142
384,"11/25/24 05:45:00 PM",-5.15025,-2.20725,-6.62175,2024-11-25 17:45:00,-2659294.8,-856523.3625,180553.05,2799657.2125315,-2659696.11818182,-855650.495454545,182027.894318182,2799872.12410992
385,"11/25/24 06:00:00 PM",-10.05525,-2.943,3.4335,2024-11-25 18:00:00,-2666137.275,-858840.975,179118.3375,2806773.80070289,-2667662.28409091,-859242.293181818,183312.1125,2808619.7366037
386,"11/25/24 06:15:00 PM",-7.3575,-8.58375,0.981,2024-11-25 18:15:00,-2673973.0125,-864028.0125,181104.8625,2815932.35877288,-2675748.84545455,-862503.003409091,184506.034090909,2817375.35398426
387,"11/25/24 06:30:00 PM",-9.3195,-2.20725,5.64075,2024-11-25 18:30:00,-2681477.6625,-868883.9625,184084.65,2824742.28083586,-2683865.50568182,-865884.109090909,185318.703409091,2826172.07445919
388,"11/25/24 06:45:00 PM",-9.81,-3.18825,4.16925,2024-11-25 18:45:00,-2690085.9375,-871311.9375,188499.15,2833951.08869507,-2691881.83636364,-869365.544318182,185659.823863636,2834873.47675399
389,"11/25/24 07:00:00 PM",-10.54575,-0.24525,-0.24525,2024-11-25 19:00:00,-2699246.025,-872857.0125,190264.95,2843239.21240321,-2699918.23295455,-872375.430681818,185720.021590909,2843431.47424341
390,"11/25/24 07:15:00 PM",-11.03625,-1.4715,0.981,2024-11-25 19:15:00,-2708957.925,-873629.55,190596.0375,2852719.48841175,-2708225.51931818,-875074.295454545,186061.142045455,2852170.05165556
391,"11/25/24 07:30:00 PM",-9.3195,-5.3955,-2.4525,2024-11-25 19:30:00,-2718118.0125,-876719.7,189933.8625,2862320.35844509,-2716723.43181818,-877722.995454545,186713.284090909,2861094.28284726
392,"11/25/24 07:45:00 PM",-8.829,-7.60275,-1.962,2024-11-25 19:45:00,-2726284.8375,-882568.9125,187947.3375,2871738.34152194,-2725341.73977273,-880060.673863636,187265.096590909,2870031.23161681
393,"11/25/24 08:00:00 PM",-7.848,0.981,-1.71675,2024-11-25 20:00:00,-2733789.4875,-885548.7,186291.9,2879671.18505617,-2734100.50909091,-882177.627272727,187556.052272727,2879016.95607633
394,"11/25/24 08:15:00 PM",-9.81,-0.24525,-2.20725,2024-11-25 20:15:00,-2741735.5875,-885217.6125,184526.1,2887000.88930111,-2742889.37727273,-884314.646590909,187586.151136364,2888020.16127412
395,"11/25/24 08:30:00 PM",-10.05525,-1.962,1.71675,2024-11-25 20:30:00,-2750674.95,-886210.875,184305.375,2895781.56406516,-2751638.11363636,-886602.160227273,187676.447727273,2897035.11153297
396,"11/25/24 08:45:00 PM",-9.81,-1.962,2.69775,2024-11-25 20:45:00,-2759614.3125,-887976.675,186291.9,2904940.34381164,-2760246.38863636,-889110.398863636,187967.403409091,2905997.4483018
397,"11/25/24 09:00:00 PM",-10.54575,-1.962,-0.73575,2024-11-25 21:00:00,-2768774.4,-889742.475,187174.8,2914238.79523788,-2768814.53181818,-891448.077272727,188438.952272727,2914881.57769973
398,"11/25/24 09:15:00 PM",-9.56475,-3.4335,0.981,2024-11-25 21:15:00,-2777824.125,-892170.45,187285.1625,2923585.2498906,-2777493.0375,-893334.272727272,189060.995454545,2923742.3435629
399,"11/25/24 09:30:00 PM",-10.3005,-2.4525,2.4525,2024-11-25 21:30:00,-2786763.4875,-894819.15,188830.2375,2932986.34587074,-2786342.10340909,-895059.940909091,189823.5,2932725.3601349
400,"11/25/24 09:45:00 PM",-9.07425,-4.65975,2.943,2024-11-25 21:45:00,-2795482.125,-898019.6625,191258.2125,2942403.66525054,-2795301.53181818,-896946.136363636,190736.498863636,2941872.56929896
401,"11/25/24 10:00:00 PM",-9.07425,-2.4525,2.69775,2024-11-25 22:00:00,-2803648.95,-901220.175,193796.55,2951305.19286892,-2804020.16931818,-899163.419318182,191499.003409091,2950882.06425939
402,"11/25/24 10:15:00 PM",-10.3005,-0.24525,0.24525,2024-11-25 22:15:00,-2812367.5875,-902434.1625,195120.9,2960045.78182238,-2812457.88409091,-901621.493181818,191850.156818182,2959671.75513952
403,"11/25/24 10:30:00 PM",-10.54575,-1.71675,-0.981,2024-11-25 22:30:00,-2821748.4,-903317.0625,194789.8125,2969206.76601681,-2820815.33522727,-904199.9625,191960.519318182,2968406.75268037
404,"11/25/24 10:45:00 PM",-10.3005,-0.981,0.73575,2024-11-25 22:45:00,-2831129.2125,-904531.05,194679.45,2978484.36734814,-2829162.75340909,-906888.794318182,192000.651136364,2977161.59290289
405,"11/25/24 11:00:00 PM",-10.05525,-2.20725,-0.981,2024-11-25 23:00:00,-2840289.3,-905965.7625,194569.0875,2987620.19010571,-2837540.27045455,-909467.263636363,191860.189772727,2985899.99084065
406,"11/25/24 11:15:00 PM",-3.924,-8.09325,-3.18825,2024-11-25 23:15:00,-2846579.9625,-910600.9875,192692.925,2994886.00862997,-2845937.85340909,-911814.975,191509.036363636,2994573.67898435
407,"11/25/24 11:30:00 PM",-9.07425,-1.71675,-2.4525,2024-11-25 23:30:00,-2852429.175,-915015.4875,190154.5875,3001626.94349304,-2854415.7,-913931.928409091,190987.322727273,3003242.3158944
408,"11/25/24 11:45:00 PM",-9.3195,-5.15025,-1.4715,2024-11-25 23:45:00,-2860706.3625,-918105.6375,188388.7875,3010323.76818723,-2862923.64545455,-916008.75,190405.411363636,3011923.70495654
409,"11/26/24 12:00:00 AM",-10.54575,-2.943,0,2024-11-26,-2869645.725,-921747.6,187726.6125,3019888.4923383,-2871421.55795455,-918165.835227273,189903.763636364,3020625.5153392
410,"11/26/24 12:15:00 AM",-10.05525,-0.24525,-0.981,2024-11-26 00:15:00,-2878916.175,-923182.3125,187285.1625,3029108.7231861,-2879949.56931818,-920443.315909091,189462.313636364,3029396.58275194
411,"11/26/24 12:30:00 AM",-9.81,-1.22625,1.22625,2024-11-26 00:30:00,-2887855.5375,-923844.4875,187395.525,3037814.23483128,-2888487.61363636,-922811.093181818,189111.160227273,3038210.45636918
412,"11/26/24 12:45:00 AM",-10.3005,-0.24525,0.24525,2024-11-26 00:45:00,-2896905.2625,-924506.6625,188057.7,3046660.19887948,-2897246.38295455,-924938.079545454,188990.764772727,3047176.06386676
413,"11/26/24 01:00:00 AM",-9.81,-1.4715,1.22625,2024-11-26 01:00:00,-2905954.9875,-925279.2,188719.875,3055541.06150593,-2906276.04204545,-926874.439772727,189161.325,3056359.7656277
414,"11/26/24 01:15:00 AM",-10.791,-2.4525,0,2024-11-26 01:15:00,-2915225.4375,-927045,189271.6875,3064926.680226,-2915395.99772727,-928740.569318182,189542.577272727,3065621.32101838
415,"11/26/24 01:30:00 AM",-10.791,-3.18825,1.22625,2024-11-26 01:30:00,-2924937.3375,-929583.3375,189823.5,3074966.10888827,-2924546.05227273,-930476.270454546,190054.257954545,3074880.05857057
416,"11/26/24 01:45:00 AM",-9.81,-2.20725,0.73575,2024-11-26 01:45:00,-2934207.7875,-932011.3125,190706.4,3084572.79989541,-2933686.07386364,-932262.136363636,190666.268181818,3084151.09933266
417,"11/26/24 02:00:00 AM",-9.56475,-2.20725,0.73575,2024-11-26 02:00:00,-2942926.425,-933997.8375,191368.575,3093507.69110334,-2942846.16136364,-934138.298863636,191278.278409091,3093469.09874313
418,"11/26/24 02:15:00 AM",-10.05525,-2.943,0.73575,2024-11-26 02:15:00,-2951755.425,-936315.45,192030.75,3102647.66286332,-2952006.24886364,-936094.725,191840.123863636,3102808.77157236
419,"11/26/24 02:30:00 AM",-10.54575,-2.20725,0.4905,2024-11-26 02:30:00,-2961025.875,-938633.0625,192582.5625,3112200.87748473,-2961166.33636364,-938121.381818182,192371.870454545,3112168.23159882
420,"11/26/24 02:45:00 AM",-10.05525,-2.69775,1.22625,2024-11-26 02:45:00,-2970296.325,-940840.3125,193355.1,3121734.60541245,-2970306.35795455,-940138.005681818,192883.551136364,3121504.6445177
421,"11/26/24 03:00:00 AM",-10.3005,-1.71675,0.24525,2024-11-26 03:00:00,-2979456.4125,-942826.8375,194017.275,3131090.17156901,-2979396.21477273,-942074.365909091,193375.165909091,3130768.16485659
