Plot Title: 21820136_Pendant1,,,,,
#,"Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)",End Of File (LGR S/N: 21820136)
140,11/22/24 05:35:00 AM,-1.075,-0.125,0.1,
141,11/22/24 05:40:00 AM,-1.125,-0.2,0.15,
142,11/22/24 05:45:00 AM,-1.05,-0.25,0.3,
143,11/22/24 05:50:00 AM,-1,-0.3,0.125,
144,11/22/24 05:55:00 AM,-1.125,-0.1,0,
145,11/22/24 06:00:00 AM,-1.025,-0.4,-0.075,
146,11/22/24 06:05:00 AM,-1.025,-0.2,0.1,
147,11/22/24 06:10:00 AM,-1.05,-0.25,0.1,
148,11/22/24 06:15:00 AM,-1.05,-0.275,0.25,
149,11/22/24 06:20:00 AM,-1.05,-0.175,-0.05,
150,11/22/24 06:25:00 AM,-1.075,-0.15,0.05,
151,11/22/24 06:30:00 AM,-1.025,-0.05,0.075,
152,11/22/24 06:35:00 AM,-1.025,-0.25,0.175,
153,11/22/24 06:40:00 AM,-1.025,-0.175,0.175,
154,11/22/24 06:45:00 AM,-1.05,-0.3,-0.075,
155,11/22/24 06:50:00 AM,-1,-0.25,0.125,
156,11/22/24 06:55:00 AM,-1.025,-0.125,0.1,
157,11/22/24 07:00:00 AM,-0.975,-0.35,0.15,
158,11/22/24 07:05:00 AM,-0.95,-0.075,0.2,
159,11/22/24 07:10:00 AM,-1.075,-0.175,0.175,
160,11/22/24 07:15:00 AM,-0.9,-0.65,0.25,
161,11/22/24 07:20:00 AM,-1,-0.45,0.125,
162,11/22/24 07:25:00 AM,-1.025,-0.325,0.15,
163,11/22/24 07:30:00 AM,-1.025,-0.35,0.25,
164,11/22/24 07:35:00 AM,-0.975,-0.2,0.25,
165,11/22/24 07:40:00 AM,-1.1,-0.35,0.075,
166,11/22/24 07:45:00 AM,-0.825,-0.75,0.325,
167,11/22/24 07:50:00 AM,-1.025,-0.325,0.075,
168,11/22/24 07:55:00 AM,-0.975,-0.275,0.1,
169,11/22/24 08:00:00 AM,-1.05,-0.125,0.1,
170,11/22/24 08:05:00 AM,-1.05,-0.275,0.175,
171,11/22/24 08:10:00 AM,-1.025,-0.15,0.2,
172,11/22/24 08:15:00 AM,-1.05,-0.05,0.3,
173,11/22/24 08:20:00 AM,-1.025,-0.25,0.2,
174,11/22/24 08:25:00 AM,-1.025,-0.225,0.175,
175,11/22/24 08:30:00 AM,-1.05,-0.225,0.15,
176,11/22/24 08:35:00 AM,-1.025,-0.2,0.125,
177,11/22/24 08:40:00 AM,-1.025,-0.325,0.125,
178,11/22/24 08:45:00 AM,-1.025,-0.175,0.125,
179,11/22/24 08:50:00 AM,-1.025,-0.225,0.125,
180,11/22/24 08:55:00 AM,-1.05,-0.275,0.05,
181,11/22/24 09:00:00 AM,-1.025,-0.275,0.15,
182,11/22/24 09:05:00 AM,-1,-0.225,0.175,
183,11/22/24 09:10:00 AM,-1,-0.3,0.175,
184,11/22/24 09:15:00 AM,-1.025,-0.25,0.1,
185,11/22/24 09:20:00 AM,-1.05,-0.275,0.125,
186,11/22/24 09:25:00 AM,-1.025,-0.275,0,
187,11/22/24 09:30:00 AM,-1.075,-0.25,0.025,
188,11/22/24 09:35:00 AM,-1.025,-0.275,0.075,
189,11/22/24 09:40:00 AM,-1.025,-0.175,0.025,
190,11/22/24 09:45:00 AM,-0.975,-0.25,0.1,
191,11/22/24 09:50:00 AM,-1.125,-0.35,0.175,
192,11/22/24 09:55:00 AM,-0.9,-0.475,0.45,
193,11/22/24 10:00:00 AM,-0.9,-0.175,0.075,
194,11/22/24 10:05:00 AM,-0.9,-0.3,0.25,
195,11/22/24 10:10:00 AM,-0.9,-0.25,0.35,
196,11/22/24 10:15:00 AM,-1.05,-0.175,0.1,
197,11/22/24 10:20:00 AM,-0.975,-0.725,0.075,
198,11/22/24 10:25:00 AM,-1.1,0,0.175,
199,11/22/24 10:30:00 AM,-0.95,-0.225,0.375,
200,11/22/24 10:35:00 AM,-0.95,-0.4,0.3,
201,11/22/24 10:40:00 AM,-1.025,-0.15,0.1,
202,11/22/24 10:45:00 AM,-1.05,-0.125,0.175,
203,11/22/24 10:50:00 AM,-0.95,-0.325,0.275,
204,11/22/24 10:55:00 AM,-0.925,-0.375,0.15,
205,11/22/24 11:00:00 AM,-0.925,-0.3,0.125,
206,11/22/24 11:05:00 AM,-1.025,0.1,0.025,
207,11/22/24 11:10:00 AM,-1,0,0.2,
208,11/22/24 11:15:00 AM,-1,-0.525,0.325,
209,11/22/24 11:20:00 AM,-0.975,-0.275,0.3,
210,11/22/24 11:25:00 AM,-0.475,-1.025,-0.175,
211,11/22/24 11:30:00 AM,-1.125,-0.125,0.225,
212,11/22/24 11:35:00 AM,-0.9,-0.2,0.55,
213,11/22/24 11:40:00 AM,-1.175,-0.2,0.125,
214,11/22/24 11:45:00 AM,-0.95,-0.25,0.075,
215,11/22/24 11:50:00 AM,-1.075,-0.325,-0.025,
216,11/22/24 11:55:00 AM,-0.975,-0.175,-0.025,
217,11/22/24 12:00:00 PM,-1.125,-0.225,0.1,
218,11/22/24 12:05:00 PM,-1,0.05,0.175,
219,11/22/24 12:10:00 PM,-1.15,-0.325,0.05,
220,11/22/24 12:15:00 PM,-1.075,-0.2,0.15,
221,11/22/24 12:20:00 PM,-0.975,-0.3,0.175,
222,11/22/24 12:25:00 PM,-0.95,-0.025,0.225,
223,11/22/24 12:30:00 PM,-1.025,-0.125,0.125,
224,11/22/24 12:35:00 PM,-1,-0.325,0.175,
225,11/22/24 12:40:00 PM,-0.6,-0.25,-0.25,
226,11/22/24 12:45:00 PM,-1.05,-0.2,0.125,
227,11/22/24 12:50:00 PM,-1.075,-0.3,0.125,
228,11/22/24 12:55:00 PM,-0.95,-0.125,0.15,
229,11/22/24 01:00:00 PM,-1.175,-0.2,0.075,
230,11/22/24 01:05:00 PM,-1.05,-0.525,-0.075,
231,11/22/24 01:10:00 PM,-1.15,-0.125,0.1,
232,11/22/24 01:15:00 PM,-0.65,-0.925,0.175,
233,11/22/24 01:20:00 PM,-1,-0.275,0,
234,11/22/24 01:25:00 PM,-1.075,-0.15,0.075,
235,11/22/24 01:30:00 PM,-1.05,-0.1,0.175,
236,11/22/24 01:35:00 PM,-1.1,-0.025,0.05,
237,11/22/24 01:40:00 PM,-1.025,-0.15,-0.05,
238,11/22/24 01:45:00 PM,-1.075,-0.2,0.025,
239,11/22/24 01:50:00 PM,-1.025,-0.175,0,
240,11/22/24 01:55:00 PM,-0.8,-0.125,0.475,
241,11/22/24 02:00:00 PM,-0.825,-0.625,-0.35,
242,11/22/24 02:05:00 PM,-0.975,-0.325,0,
243,11/22/24 02:10:00 PM,-1.025,-0.225,0.025,
244,11/22/24 02:15:00 PM,-1.075,-0.25,0.1,
245,11/22/24 02:20:00 PM,-1.025,-0.2,0.025,
246,11/22/24 02:25:00 PM,-1.05,-0.2,0.075,
247,11/22/24 02:30:00 PM,-1.075,-0.275,0.025,
248,11/22/24 02:35:00 PM,-0.925,-0.35,0.25,
249,11/22/24 02:40:00 PM,-1.025,-0.2,0.075,
250,11/22/24 02:45:00 PM,-1.125,-0.325,0.1,
251,11/22/24 02:50:00 PM,-1.025,-0.15,0,
252,11/22/24 02:55:00 PM,-1,-0.125,0.075,
253,11/22/24 03:00:00 PM,-1.125,-0.25,0.1,
254,11/22/24 03:05:00 PM,-0.95,-0.325,0.175,
255,11/22/24 03:10:00 PM,-1.025,-0.625,0.15,
256,11/22/24 03:15:00 PM,-1.025,-0.25,0.075,
257,11/22/24 03:20:00 PM,-1.1,-0.275,0.15,
258,11/22/24 03:25:00 PM,-1.025,-0.45,0.025,
259,11/22/24 03:30:00 PM,-0.95,-0.625,0.25,
260,11/22/24 03:35:00 PM,-1.1,-0.2,0.025,
261,11/22/24 03:40:00 PM,-1.1,-0.225,0.05,
262,11/22/24 03:45:00 PM,-1.05,-0.2,0.05,
263,11/22/24 03:50:00 PM,-1.05,-0.125,0.075,
264,11/22/24 03:55:00 PM,-1,-0.175,0.05,
265,11/22/24 04:00:00 PM,-1.05,-0.15,0.025,
266,11/22/24 04:05:00 PM,-1.025,-0.2,-0.025,
267,11/22/24 04:10:00 PM,-1.025,-0.225,-0.025,
268,11/22/24 04:15:00 PM,-1.075,-0.2,0.025,
269,11/22/24 04:20:00 PM,-1.075,-0.125,0.075,
270,11/22/24 04:25:00 PM,-0.975,0.075,-0.1,
271,11/22/24 04:30:00 PM,-1.05,-0.175,0.125,
272,11/22/24 04:35:00 PM,-1.025,-0.2,0.075,
273,11/22/24 04:40:00 PM,-1.05,-0.225,0.15,
274,11/22/24 04:45:00 PM,-1.125,-0.225,0.125,
275,11/22/24 04:50:00 PM,-1.075,-0.225,0.15,
276,11/22/24 04:55:00 PM,-1.075,-0.2,0.075,
277,11/22/24 05:00:00 PM,-1.075,-0.2,0.125,
278,11/22/24 05:05:00 PM,-1.025,-0.2,0.125,
279,11/22/24 05:10:00 PM,-1.075,-0.175,0.125,
280,11/22/24 05:15:00 PM,-1.025,-0.2,0.125,
281,11/22/24 05:20:00 PM,-1.025,-0.175,0.1,
282,11/22/24 05:25:00 PM,-1.075,-0.2,0.1,
283,11/22/24 05:30:00 PM,-1.025,-0.15,0.125,
284,11/22/24 05:35:00 PM,-1.025,-0.225,0.075,
285,11/22/24 05:40:00 PM,-1.075,-0.2,0.1,
286,11/22/24 05:45:00 PM,-1.075,-0.175,0.125,
287,11/22/24 05:50:00 PM,-1.075,-0.2,0.075,
288,11/22/24 05:55:00 PM,-1.075,-0.225,0.125,
289,11/22/24 06:00:00 PM,-1.05,-0.2,0.1,
290,11/22/24 06:05:00 PM,-1.075,-0.225,0.1,
291,11/22/24 06:10:00 PM,-1.025,-0.175,0.125,
292,11/22/24 06:15:00 PM,-1.075,-0.225,0.1,
293,11/22/24 06:20:00 PM,-1.075,-0.225,0.125,
294,11/22/24 06:25:00 PM,-1.05,-0.225,0.125,
295,11/22/24 06:30:00 PM,-1.025,-0.2,0.125,
296,11/22/24 06:35:00 PM,-1.025,-0.175,0.125,
297,11/22/24 06:40:00 PM,-1.025,-0.225,0.125,
298,11/22/24 06:45:00 PM,-1.025,-0.2,0.15,
299,11/22/24 06:50:00 PM,-1.025,-0.2,0.15,
300,11/22/24 06:55:00 PM,-1.025,-0.2,0.125,
301,11/22/24 07:00:00 PM,-1.075,-0.15,0.15,
302,11/22/24 07:05:00 PM,-1.025,-0.15,0.15,
303,11/22/24 07:10:00 PM,-1.05,-0.225,0.125,
304,11/22/24 07:15:00 PM,-1.025,-0.225,0.125,
305,11/22/24 07:20:00 PM,-1.075,-0.175,0.1,
306,11/22/24 07:25:00 PM,-1.05,-0.2,0.1,
307,11/22/24 07:30:00 PM,-1.1,-0.175,0.1,
308,11/22/24 07:35:00 PM,-1.075,-0.175,0.125,
309,11/22/24 07:40:00 PM,-1.05,-0.175,0.125,
310,11/22/24 07:45:00 PM,-1.075,-0.2,0.125,
311,11/22/24 07:50:00 PM,-1.025,-0.3,0.225,
312,11/22/24 07:55:00 PM,-1.075,-0.2,0.125,
313,11/22/24 08:00:00 PM,-1.05,-0.15,0.125,
314,11/22/24 08:05:00 PM,-1.075,-0.2,0.025,
315,11/22/24 08:10:00 PM,-1.025,-0.325,0.175,
316,11/22/24 08:15:00 PM,-1.075,-0.175,0.075,
317,11/22/24 08:20:00 PM,-1.05,-0.1,0.15,
318,11/22/24 08:25:00 PM,-1.05,-0.175,0.1,
319,11/22/24 08:30:00 PM,-1.025,-0.225,0.125,
320,11/22/24 08:35:00 PM,-1.075,-0.2,0.125,
321,11/22/24 08:40:00 PM,-1.05,-0.2,0.075,
322,11/22/24 08:45:00 PM,-1.05,-0.175,0.1,
323,11/22/24 08:50:00 PM,-1.05,-0.15,0.125,
324,11/22/24 08:55:00 PM,-1.025,-0.2,0.125,
325,11/22/24 09:00:00 PM,-1.025,-0.225,0.1,
326,11/22/24 09:05:00 PM,-1.025,-0.15,0.125,
327,11/22/24 09:10:00 PM,-1.025,-0.2,0.1,
