Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Amphipod_plankton,OTU_Jassa_herdmani,OTU_Aora gracilis,OTU_Niphargus arbiter,Total_Amphipoda,Amphipod,Caprellidae,Gammaridae,Jassa,Corophium,for_standardizing
Alaria,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,0,0,0,0,0,0,0,0,0,0,9.3
Saccharina,Pabay_21_3_22_2,Pabay,NW,2,21_3_2022,21,3,2022,0,0,0,0,2,2,0,0,0,0,48
Alaria,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,2,0,0,0,0,0,0,0,0,0,10
Saccharina,Pabay_21_3_22_3,Pabay,Mid,3,21_3_2022,21,3,2022,2,0,0,0,1,0,0,0,1,0,19.25
Alaria,Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,0,0,0,0,14,7,1,3,3,0,4226
Saccharina,Pabay_22_5_22_1,Pabay,NE,1,22_5_2022,22,5,2022,0,0,0,0,24,11,0,0,13,0,1600
Alaria,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,2,0.172396968,0,0,43,26,0,0,17,0,3528
Saccharina,Pabay_22_5_22_2,Pabay,NW,2,22_5_2022,22,5,2022,2,0.172396968,0,0,97,63,1,13,20,1,540
Alaria,Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,20,0,0,0,52,42,1,1,8,0,1794
Saccharina,Pabay_22_5_22_3,Pabay,Mid,3,22_5_2022,22,5,2022,20,0,0,0,33,26,0,0,7,0,2303
Alaria,Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,0,0,0,0,0,0,0,0,0,0,210
Saccharina,Pabay_25_2_22_1,Pabay,NE,1,25_2_2022,25,2,2022,0,0,0,0,0,0,0,0,0,0,109.5
Alaria,Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,0,0,0,0,0,0,0,0,0,0,210
Saccharina,Pabay_25_2_22_2,Pabay,NW,2,25_2_2022,25,2,2022,0,0,0,0,0,0,0,0,0,0,109.5
Alaria,Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,0,0,0,0,0,0,0,0,0,0,210
Saccharina,Pabay_25_2_22_3,Pabay,Mid,3,25_2_2022,25,2,2022,0,0,0,0,0,0,0,0,0,0,109.5
Alaria,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_29_11_21_1,Pabay,NE,1,29_11_2021,29,11,2021,0,0,0,0,,,,,,,
Alaria,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_29_11_21_2,Pabay,NW,2,29_11_2021,29,11,2021,0,0,0,0,,,,,,,
Alaria,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,0,0,0,0,,,,,,,
Saccharina,Pabay_29_11_21_3,Pabay,Mid,3,29_11_2021,29,11,2021,0,0,0,0,,,,,,,
Alaria,Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,0,,,,1,1,0,0,0,0,120
Saccharina,Pabay_30_1_22_1,Pabay,NE,1,30_1_2022,30,1,2022,0,,,,0,0,0,0,0,0,60.5
Alaria,Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,0,,,,1,1,0,0,0,0,120
Saccharina,Pabay_30_1_22_2,Pabay,NW,2,30_1_2022,30,1,2022,0,,,,0,0,0,0,0,0,60.5
Alaria,Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,0,,,,1,1,0,0,0,0,120
Saccharina,Pabay_30_1_22_3,Pabay,Mid,3,30_1_2022,30,1,2022,0,,,,0,0,0,0,0,0,60.5
