"Plot Title: t3_low_mllmeso"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Coupler Detached (LGR S/N: 21820141)","Host Connected (LGR S/N: 21820141)","Coupler Attached (LGR S/N: 21820141)","Stopped (LGR S/N: 21820141)","End Of File (LGR S/N: 21820141)"
127,30/06/25 13:09:04,-1.025,,,,,
128,30/06/25 13:09:05,-1.025,,,,,
129,30/06/25 13:09:06,-1.025,,,,,
130,30/06/25 13:09:07,-1.025,,,,,
131,30/06/25 13:09:08,-1.025,,,,,
132,30/06/25 13:09:09,-1.025,,,,,
133,30/06/25 13:09:10,-1.025,,,,,
134,30/06/25 13:09:11,-1.025,,,,,
135,30/06/25 13:09:12,-1.025,,,,,
136,30/06/25 13:09:13,-1.025,,,,,
137,30/06/25 13:09:14,-1.025,,,,,
138,30/06/25 13:09:15,-1.025,,,,,
139,30/06/25 13:09:16,-1.025,,,,,
140,30/06/25 13:09:17,-1.025,,,,,
141,30/06/25 13:09:18,-1.025,,,,,
142,30/06/25 13:09:19,-1.025,,,,,
143,30/06/25 13:09:20,-1.025,,,,,
144,30/06/25 13:09:21,-1.025,,,,,
145,30/06/25 13:09:22,-1.025,,,,,
146,30/06/25 13:09:23,-1.025,,,,,
147,30/06/25 13:09:24,-1.050,,,,,
148,30/06/25 13:09:25,-1.025,,,,,
149,30/06/25 13:09:26,-1.025,,,,,
150,30/06/25 13:09:27,-1.025,,,,,
151,30/06/25 13:09:28,-1.025,,,,,
152,30/06/25 13:09:29,-1.025,,,,,
153,30/06/25 13:09:30,-1.025,,,,,
154,30/06/25 13:09:31,-1.025,,,,,
155,30/06/25 13:09:32,-1.025,,,,,
156,30/06/25 13:09:33,-1.025,,,,,
157,30/06/25 13:09:34,-1.025,,,,,
158,30/06/25 13:09:35,-1.025,,,,,
159,30/06/25 13:09:36,-1.025,,,,,
160,30/06/25 13:09:37,-1.025,,,,,
161,30/06/25 13:09:38,-1.075,,,,,
162,30/06/25 13:09:39,-1.025,,,,,
163,30/06/25 13:09:40,-1.025,,,,,
164,30/06/25 13:09:41,-1.025,,,,,
165,30/06/25 13:09:42,-1.025,,,,,
166,30/06/25 13:09:43,-1.025,,,,,
167,30/06/25 13:09:44,-1.025,,,,,
168,30/06/25 13:09:45,-1.025,,,,,
169,30/06/25 13:09:46,-1.025,,,,,
170,30/06/25 13:09:47,-1.025,,,,,
171,30/06/25 13:09:48,-1.025,,,,,
172,30/06/25 13:09:49,-1.025,,,,,
173,30/06/25 13:09:50,-1.025,,,,,
