taxa,n,slope,intercept,r_squared,p_value,significant
Total_Branchiopoda,31,0.8423931653953198,-3.75634275970954,0.7628577950336896,1.442602148218518e-10,***
Total_Malacostraca,31,0.9723434552196886,-4.0997021811540355,0.7127231129100046,2.4011093950067528e-9,***
