"","X","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"11",11,117386,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=117386","Obelia dichotoma","(Linnaeus, 1758)","accepted",NA,220,"Species",117386,"Obelia dichotoma","(Linnaeus, 1758)",117034,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Schuchert, P.; Choong, H.; Galea, H.; Hoeksema, B.; Lindsay, D.; Mańko, M.; Pica, D. (2025). World Hydrozoa Database. Obelia dichotoma (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117386 on 2025-05-02","urn:lsid:marinespecies.org:taxname:117386",1,0,0,0,0,"like","2014-01-26T13:33:31.287Z"
"12",12,141354,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=141354","Rissoa guernei","Dautzenberg, 1889","accepted",NA,220,"Species",141354,"Rissoa guernei","Dautzenberg, 1889",138456,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","MolluscaBase eds. (2025). MolluscaBase. Rissoa guernei Dautzenberg, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141354 on 2025-05-02","urn:lsid:marinespecies.org:taxname:141354",1,NA,NA,NA,NA,"like","2023-11-12T20:28:25.073Z"
"13",13,1484,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1484","Halacaridae","Murray, 1877","accepted",NA,140,"Family",1484,"Halacaridae","Murray, 1877",292685,"Animalia","Arthropoda","Arachnida","Trombidiformes","Halacaridae",NA,"WoRMS (2025). Halacaridae Murray, 1877. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1484 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1484",1,1,1,0,NA,"like","2019-05-24T09:35:49.910Z"
"14",14,1065,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1065","Arthropoda","Gravenhorst, 1843","accepted",NA,30,"Phylum",1065,"Arthropoda","Gravenhorst, 1843",2,"Animalia","Arthropoda",NA,NA,NA,NA,"WoRMS (2025). Arthropoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1065 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1065",1,1,1,1,NA,"like","2024-03-27T12:50:57.237Z"
"15",15,1135,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1135","Amphipoda","Latreille, 1816","accepted",NA,100,"Order",1135,"Amphipoda","Latreille, 1816",1090,"Animalia","Arthropoda","Malacostraca","Amphipoda",NA,NA,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaş-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2025). World Amphipoda Database. Amphipoda. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1135 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1135",1,1,1,1,0,"like","2018-01-23T09:06:43.690Z"
"16",16,101361,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=101361","Caprellidae","Leach, 1814","accepted",NA,140,"Family",101361,"Caprellidae","Leach, 1814",196121,"Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae",NA,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaş-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2025). World Amphipoda Database. Caprellidae Leach, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101361 on 2025-05-02","urn:lsid:marinespecies.org:taxname:101361",1,0,0,0,NA,"like","2019-09-26T07:55:20.480Z"
"17",17,101383,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=101383","Gammaridae","Latreille, 1802","accepted",NA,140,"Family",101383,"Gammaridae","Latreille, 1802",720708,"Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaş-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2025). World Amphipoda Database. Gammaridae Latreille, 1802. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101383 on 2025-05-02","urn:lsid:marinespecies.org:taxname:101383",1,1,1,NA,NA,"like","2022-11-24T19:16:47.537Z"
"18",18,101571,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=101571","Jassa","Leach, 1814","accepted",NA,180,"Genus",101571,"Jassa","Leach, 1814",491676,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa","Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaş-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2025). World Amphipoda Database. Jassa Leach, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101571 on 2025-05-02","urn:lsid:marinespecies.org:taxname:101571",1,0,0,0,0,"like","2021-03-17T11:42:54.283Z"
"19",19,123080,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=123080","Asteroidea","de Blainville, 1830","accepted",NA,60,"Class",123080,"Asteroidea","de Blainville, 1830",148743,"Animalia","Echinodermata","Asteroidea",NA,NA,NA,"WoRMS (2025). Asteroidea. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123080 on 2025-05-02","urn:lsid:marinespecies.org:taxname:123080",1,0,0,0,0,"like","2009-06-22T07:47:14.980Z"
"20",20,137735,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137735","Cerastoderma","Poli, 1795","accepted",NA,180,"Genus",137735,"Cerastoderma","Poli, 1795",1496553,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma","MolluscaBase eds. (2025). MolluscaBase. Cerastoderma Poli, 1795. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137735 on 2025-05-02","urn:lsid:marinespecies.org:taxname:137735",1,1,NA,0,0,"like","2021-09-24T05:52:39.897Z"
