"","X","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"34",34,101,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=101","Gastropoda","Cuvier, 1795","accepted",NA,60,"Class",101,"Gastropoda","Cuvier, 1795",51,"Animalia","Mollusca","Gastropoda",NA,NA,NA,"WoRMS (2025). Gastropoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101 on 2025-05-02","urn:lsid:marinespecies.org:taxname:101",1,1,1,1,NA,"like","2009-03-17T08:27:08.607Z"
"35",35,138590,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138590","Gibbula","Risso, 1826","accepted",NA,180,"Genus",138590,"Gibbula","Risso, 1826",382171,"Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Gibbula","MolluscaBase eds. (2025). MolluscaBase. Gibbula Risso, 1826. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138590 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138590",1,NA,NA,NA,NA,"like","2015-07-17T20:58:41.670Z"
"36",36,138099,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138099","Lacuna","W. Turton, 1827","accepted",NA,180,"Genus",138099,"Lacuna","W. Turton, 1827",1735,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Lacuna","MolluscaBase eds. (2025). MolluscaBase. Lacuna W. Turton, 1827. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138099 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138099",1,NA,0,0,0,"like","2022-09-04T05:23:40.470Z"
"37",37,138456,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138456","Rissoa","Desmarest, 1814","accepted",NA,180,"Genus",138456,"Rissoa","Desmarest, 1814",123,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","MolluscaBase eds. (2025). MolluscaBase. Rissoa Desmarest, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138456 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138456",1,NA,NA,NA,NA,"like","2018-01-23T17:20:39.330Z"
"38",38,138312,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138312","Patella","Linnaeus, 1758","accepted",NA,180,"Genus",138312,"Patella","Linnaeus, 1758",113,"Animalia","Mollusca","Gastropoda",NA,"Patellidae","Patella","WoRMS (2025). Patella Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138312 on 2025-05-02","urn:lsid:marinespecies.org:taxname:138312",1,NA,0,0,0,"like","2025-04-08T12:15:46.223Z"
"39",39,1131,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1131","Isopoda","Latreille, 1816","accepted",NA,100,"Order",1131,"Isopoda","Latreille, 1816",1090,"Animalia","Arthropoda","Malacostraca","Isopoda",NA,NA,"WoRMS (2025). Isopoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1131 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1131",1,1,1,1,0,"like","2022-10-20T02:25:09.690Z"
"40",40,118283,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=118283","Idoteidae","Samouelle, 1819","accepted",NA,140,"Family",118283,"Idoteidae","Samouelle, 1819",13800,"Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae",NA,"Boyko, C.B.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B. (Eds) (2025). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Idoteidae Samouelle, 1819. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118283 on 2025-05-02","urn:lsid:marinespecies.org:taxname:118283",1,0,1,0,NA,"like","2024-02-29T13:24:44.560Z"
"41",41,118258,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=118258","Janiridae","G. O. Sars, 1897","accepted",NA,140,"Family",118258,"Janiridae","G. O. Sars, 1897",155716,"Animalia","Arthropoda","Malacostraca","Isopoda","Janiridae",NA,"Boyko, C.B.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B. (Eds) (2025). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Janiridae G. O. Sars, 1897. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118258 on 2025-05-02","urn:lsid:marinespecies.org:taxname:118258",1,0,1,0,NA,"like","2024-02-29T13:24:44.560Z"
"42",42,149668,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=149668","Mysida","Boas, 1883","accepted",NA,100,"Order",149668,"Mysida","Boas, 1883",1090,"Animalia","Arthropoda","Malacostraca","Mysida",NA,NA,"WoRMS (2025). Mysida. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149668 on 2025-05-02","urn:lsid:marinespecies.org:taxname:149668",1,1,1,NA,NA,"like","2014-05-22T07:31:09.077Z"
"43",43,152391,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=152391","Nemertea",NA,"accepted",NA,30,"Phylum",152391,"Nemertea",NA,2,"Animalia","Nemertea",NA,NA,NA,NA,"WoRMS (2025). Nemertea. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152391 on 2025-05-02","urn:lsid:marinespecies.org:taxname:152391",1,1,1,1,0,"like","2020-08-07T14:08:48.800Z"
"44",44,122379,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=122379","Cephalothrix","Örsted, 1843","accepted",NA,180,"Genus",122379,"Cephalothrix","Örsted, 1843",766122,"Animalia","Nemertea","Palaeonemertea","Archinemertea","Cephalotrichidae","Cephalothrix","Norenburg, J.; Chernyshev, A.; Kajihara, H.; Maslakova, S. (2025). World Nemertea Database. Cephalothrix Örsted, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=122379 on 2025-05-02","urn:lsid:marinespecies.org:taxname:122379",1,NA,0,0,0,"like","2024-12-27T12:00:54.587Z"
"45",45,1078,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1078","Ostracoda","Latreille, 1802","accepted",NA,60,"Class",1078,"Ostracoda","Latreille, 1802",845957,"Animalia","Arthropoda","Ostracoda",NA,NA,NA,"WoRMS (2025). Ostracoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1078 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1078",1,1,1,1,0,"like","2016-05-19T09:31:12.140Z"
"46",46,892,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=892","Phyllodocida","Dales, 1962","accepted",NA,100,"Order",892,"Phyllodocida","Dales, 1962",754174,"Animalia","Annelida","Polychaeta","Phyllodocida",NA,NA,"Read, G.; Fauchald, K. (Ed.) (2025). World Polychaeta Database. Phyllodocida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=892 on 2025-05-02","urn:lsid:marinespecies.org:taxname:892",1,0,0,0,0,"like","2014-02-18T00:49:53.643Z"
"47",47,1410,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1410","Foraminifera","d'Orbigny, 1826","accepted",NA,30,"Phylum",1410,"Foraminifera","d'Orbigny, 1826",582420,"Chromista","Foraminifera",NA,NA,NA,NA,"WoRMS (2025). Foraminifera. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1410 on 2025-05-02","urn:lsid:marinespecies.org:taxname:1410",1,1,1,1,0,"like","2020-05-06T14:04:43.367Z"
