sample_id,qubit_conc,ND_conc,a260_280,a260_230
1a1,0.194,-0.67,0.495,-0.545
1a3,5.68,12.88,2.628,1.149
1a4,3.52,10.75,2.928,1.29
1b2,4.98,6.72,2.731,-15.571
1b3,3.84,5.45,3.213,-0.408
1b4,6.42,23.42,2.714,0.453
1d4,5.26,3.38,-0.644,-0.096
1d6,6.58,17.62,2.572,-8.696
2a2,8.91,31.31,2.354,3.301
2a4,11,21.69,2.628,1.068
2b2,12.7,18.9,2.491,-13.356
2b4,6.36,8.77,2.889,-0.848
2c4,5.6,30.28,2.489,1.128
2d2,6.28,21.14,2.72,9.015
2d5,7.26,24.33,2.412,-3.433
2d6,3.1,9.97,3.651,0.497
