sample_id,ND_conc,a260_280,a260_230,qubit_pred,qubit_lb,qubit_ub,CI_width,ND_to_Qb_correction_factor,outside_range
a1a2,50.64,2.14,7.376,16.116894056849436,8.210197171459521,31.63800681214728,23.427809640687762,0.31826410064868554,FALSE
a1a5,19.96,2.287,1.958,8.394536528913875,4.294724359062718,16.408094593211203,12.113370234148485,0.4205679623704346,FALSE
a1a6,15.35,2.326,-2.03,7.5346248942167096,3.851205925927673,14.740985911542849,10.889779985615176,0.4908550419685153,FALSE
a1b1,-3.51,1.619,0.149,0.25162237633672063,0.10743472319533591,0.5893236226636167,0.4818888994682808,NA,TRUE
a1b6,24.31,2.31,-12.921,12.01480198071257,5.63861606562394,25.601222880877426,19.962606815253487,0.49423290747480747,FALSE
a1c1,39.02,2.244,4.809,13.099173099159668,6.673340833759686,25.71250894510019,19.039168111340505,0.3357040773746711,FALSE
a1c2,17.56,2.302,4.35,7.430033593485797,3.7641133105169238,14.666242656958204,10.90212934644128,0.4231226419980523,FALSE
a1c3,1532.84,1.477,0.649,194.60390338896096,91.62153701478162,413.33817842534387,321.71664141056226,0.12695643602004186,TRUE
a1c4,57.26,2.255,6.613,17.026425826579654,8.67361521399471,33.423107813253225,24.749492599258517,0.2973528785640876,FALSE
a1c5,16.84,2.355,-13.846,9.213193489586535,4.349289899936823,19.516504125832753,15.16721422589593,0.5471017511630959,FALSE
a1c6,47.46,2.314,2.403,15.027424231610777,7.688187623966073,29.372784599175546,21.684596975209473,0.31663346463570957,FALSE
a1d1,17.6,2.502,-62.277,9.14102256790821,4.333001200882234,19.28416118832233,14.951159987440096,0.519376282267512,TRUE
a1d2,70.64,2.183,3.183,20.138021667488044,10.264608481749207,39.50856161745287,29.243953135703663,0.2850795819293324,FALSE
a1d3,62.31,2.218,3.352,18.23244721554111,9.28957941712444,35.784411386236144,26.494831969111704,0.29260868585365285,FALSE
a1d5,15.52,2.479,-2.356,7.344978472334481,3.7491273034792183,14.389671086653196,10.640543783173978,0.47325892218650006,FALSE
a2a11,91.82,2.018,1.905,25.886811922687315,13.161187051030456,50.91691417516313,37.755727124132676,0.2819299926234733,FALSE
a2a2 1,8.3,2.144,6.016,4.612748799515432,2.3096440170108443,9.212437644381437,6.902793627370592,0.5557528674114979,FALSE
a2a3 1,25.76,1.944,2.996,10.715294811382053,5.415119562726842,21.203140866018764,15.788021303291922,0.41596641348532815,FALSE
a2a4 1,110.95,2.147,1.537,28.74837422187797,14.646632651440303,56.42723758213909,41.780604930698786,0.25911107906154096,FALSE
a2a5 1,16.5,2.418,0.447,7.341085056062167,3.76357351182404,14.319244630409889,10.555671118585849,0.4449142458219495,FALSE
a2b1 1,25.65,2.22,0.765,10.417073636375019,5.349616174329645,20.284711951181695,14.93509577685205,0.406123728513646,FALSE
a2b2 1,27.51,2.314,0.441,10.741217762261082,5.521809215018055,20.89419509506464,15.372385880046583,0.39044775580738206,FALSE
a2b4 1,45.38,2.211,1.167,15.359079611621816,7.883647915310522,29.92286426921759,22.03921635390707,0.338454817356144,FALSE
a2b5 1,15.64,2.256,0.97,7.299544141084582,3.739451177711101,14.24897455146258,10.509523373751477,0.46672277116909094,FALSE
a2b6 1,59.38,2.219,1.119,18.476045732473125,9.47346349814244,36.03373422775875,26.56027072961631,0.3111493050264925,FALSE
a2c3 1,46.45,2.065,1.498,16.10271019808017,8.231138503931113,31.50199399506122,23.270855491130106,0.34666760383380346,FALSE
a2c4 1,14.92,2.165,0.927,7.241977000039941,3.701849456166571,14.167575286386144,10.465725830219574,0.48538719839409794,FALSE
a2c5 1,29.2,2.21,1.559,11.234644785721347,5.763479636405903,21.89948632143424,16.136006685028335,0.38474810910004614,FALSE
a2c6 1,45.89,2.079,1.028,16.06759922721862,8.218252363462678,31.41394709102606,23.19569472756338,0.35013290972365696,FALSE
a2d1 1,74.19,2.036,1.373,22.48456179887341,11.45657407476748,44.12798415896579,32.67141008419831,0.303067283985354,FALSE
a2d2 1,71.44,2.063,1.17,21.8440853387462,11.143935134814798,42.81827366310821,31.67433852829341,0.3057682718189558,FALSE
a2d3 1,15.26,2.101,0.527,7.542571891401621,3.848488503410748,14.782528435915125,10.934039932504378,0.4942707661468952,FALSE
a2d4 1,18.72,2.089,1.319,8.570596218849206,4.374307100845287,16.792401139910343,12.418094039065057,0.4578309945966456,FALSE
a2d5 1,27.61,2.145,0.903,11.145394330582048,5.714012815892738,21.73950580556456,16.02549298967182,0.4036723770583864,FALSE
a2d6 1,22.77,2.191,1.097,9.599729384937108,4.923156239399154,18.718643037676976,13.795486798277821,0.42159549340962266,FALSE
b1a1 1,2.84,2.902,0.188,1.927817750119077,0.9388416525729588,3.958581585604891,3.019739933031932,0.678809066943337,FALSE
b1a2 1,33.56,2.124,1.084,12.776437543343167,6.547346014814183,24.931835881226387,18.384489866412203,0.3807043368099871,FALSE
b1a3 1,53.1,2.087,1.881,17.421312140044886,8.906567487269568,34.07621590637249,25.16964841910292,0.3280849743887926,FALSE
b1a4 1,43.93,2.12,1.305,15.334775409792032,7.855535367391895,29.934985442861798,22.079450075469904,0.3490729663053046,FALSE
b1a5 1,25.43,2.17,1.788,10.26862890010798,5.258564666542348,20.05200015111075,14.793435484568402,0.4037997994537153,FALSE
b1a6 1,17.91,2.004,2.53,8.285936981213782,4.195560303184759,16.36414368887281,12.168583385688052,0.462643047527291,FALSE
b1b1 1,57.18,2.095,2.14,18.198542058090464,9.300402989282171,35.60995511933719,26.309552130055017,0.31826761206873844,FALSE
b1b2 1,87.42,2.142,1.596,24.38336989539605,12.451508267708789,47.74913325139765,35.29762498368886,0.27892209900933485,FALSE
b1b5 1,27.07,2.095,0.666,11.194206007043675,5.7283296946489,21.8755300074978,16.147200312848902,0.41352811256164296,FALSE
b1b6 1,22.63,2.087,1.545,9.730130063966211,4.9700502240918,19.049190006726658,14.079139782634858,0.4299659771969161,FALSE
b1c2 1,33.5,2.135,2.077,12.461850196213312,6.377580587556453,24.35056808468547,17.97298749712902,0.3719955282451735,FALSE
b1c3 1,81.28,2.09,2.114,23.249393593441532,11.859880448559705,45.57670752308503,33.71682707452532,0.2860407676358456,FALSE
b1c4 1,43.88,2.124,1.826,15.140404053531437,7.7522593039187,29.56968103328489,21.81742172936619,0.3450411133439252,FALSE
b1c5 1,36.97,2.094,2.284,13.425537611411684,6.860254027635503,26.273817183640663,19.41356315600516,0.3631468112364535,FALSE
b1c6 1,56.7,2.182,2,17.73852841772165,9.084485866986983,34.63656557271734,25.552079705730357,0.3128488257093765,FALSE
b1d1 1,32.21,2.218,1.686,11.965910731701124,6.1385847216522,23.325086503082815,17.186501781430614,0.3714967628593953,FALSE
b1d2 1,61.98,2.113,1.923,19.238387755237003,9.837254086671141,37.62386944160936,27.786615354938217,0.31039670466661834,FALSE
b1d3 1,15.6,1.84,0.291,8.228345486464395,4.122436626995706,16.423701701379613,12.301265074383908,0.5274580440041279,FALSE
b1d4 1,56.48,2.178,2.283,17.60462970828717,9.009445038139702,34.39978665210893,25.390341613969227,0.31169670163397967,FALSE
b1d5 1,38.62,2.147,1.815,13.78163691449661,7.06096078987176,26.899103634091304,19.838142844219544,0.35685232818479057,FALSE
b1d6 1,60.49,2.141,1.4,18.986836538798663,9.72089123329296,37.08507307605584,27.364181842762882,0.3138838905405631,FALSE
b2a1,70.49,2.205,5.404,19.91543251165404,10.142447579857393,39.105398278215546,28.962950698358153,0.2825284793822392,FALSE
b2a3,57.94,2.203,1.979,17.915213307250774,9.17655298215555,34.97553694381915,25.798983961663602,0.3092028530764718,FALSE
b2a5,43.22,2.224,5.854,14.131825276137388,7.201364692038912,27.732033326412797,20.530668634373885,0.3269742081475564,FALSE
b2a6,5.16,3.802,-0.398,2.918000715922666,1.4337585486414635,5.938746231848588,4.5049876832071245,0.5655040147136949,TRUE
b2b1,61.39,2.319,1.827,18.147504961030016,9.292072421743164,35.442248118943034,26.15017569719987,0.29561011501922163,FALSE
b2b6,29.69,2.343,9.347,10.567981672494877,5.370501077197344,20.7954965514075,15.424995474210156,0.3559441452507537,TRUE
b2c1,19.42,2.485,-2.183,8.53153040119219,4.357658169441243,16.70324017080937,12.345582001368125,0.4393167044898141,FALSE
b2c2,53.96,2.236,9.931,16.423254546839537,8.36855351111809,32.230574800285744,23.862021289167654,0.30435979516011,TRUE
b2c3,35.66,2.285,9.18,12.177724003654532,6.199838609237713,23.919487466693468,17.719648857455756,0.34149534502676765,TRUE
b2c5,29.83,2.204,-6.044,13.393241831097258,6.544339046577294,27.409785078306584,20.86544603172929,0.44898564636598254,FALSE
b2c6,21.81,2.513,-2.493,9.236677877790761,4.707627370621034,18.122976077185623,13.41534870656459,0.42350655102204315,FALSE
b2d1,33.72,2.269,23.611,11.764909403028494,5.989775151936831,23.1082285645917,17.118453412654866,0.3489000416081997,TRUE
b2d3,24.1,2.371,-5.427,10.922064082220169,5.426184501653723,21.984413500825077,16.558228999171355,0.45319767976017294,FALSE
b2d4,24.46,2.392,-3.394,10.516245307785699,5.332659980485817,20.73850869513897,15.405848714653155,0.4299364394025224,FALSE
c1a1 1,4.68,1.884,1.591,3.4485792487909497,1.6987994782497897,7.000648980328247,5.301849502078458,0.7368759078613141,FALSE
