Date,Sample Name,Nano_ng_ul,A260_A280,A260_A230,A230,A280,real_qubit
,b2b1,61.39,2.319,1.827,-0.173,0.319,NA
,b2b2,18.9,2.491,-13.356,-15.356,0.491,12.7
,b2b3,17.49,2.282,-3.066,-5.066,0.282,6.86
,b2b4,8.77,2.889,-0.848,-2.848,0.889,6.36
,b2b5,83,2.202,4.663,2.663,0.202,27.6
,b2b6,29.69,2.343,9.347,2.7295,0.343,NA
,b2c1,19.42,2.485,-2.183,-4.183,0.485,NA
,b2c2,53.96,2.236,9.931,2.7295,0.236,NA
,b2c3,35.66,2.285,9.18,2.7295,0.285,NA
,b2c4,30.28,2.489,1.128,-0.872,0.489,5.6
,b2c5,29.83,2.204,-6.044,-8.044,0.204,NA
,b2c6,21.81,2.513,-2.493,-4.493,0.513,NA
,b2d1,33.72,2.269,23.611,2.7295,0.269,NA
,b2d2,21.14,2.72,9.015,2.7295,0.72,6.28
,b2d3,24.1,2.371,-5.427,-7.427,0.371,NA
,b2d4,24.46,2.392,-3.394,-5.394,0.392,NA
,b2d5,24.33,2.412,-3.433,-5.433,0.412,7.26
,b2d6,9.97,3.651,0.497,-1.503,1.3225,3.1
11/24/2025 01:14:03 PM,c1a1 1,4.68,1.884,1.591,0.059,0.05,NA
11/24/2025 01:15:33 PM,c1a2 1,51.26,2.167,1.55,0.661,0.473,NA
11/24/2025 01:16:32 PM,c1a3 1,98.42,2.102,2.316,0.85,0.936,27.2
11/24/2025 01:17:53 PM,c1a4 1,30.37,2.147,1.103,0.55,0.283,NA
11/24/2025 01:21:29 PM,c1a5 1,57.58,2.13,1.262,0.913,0.541,24.2
11/24/2025 01:22:25 PM,c1a6 1,21.5,1.908,1.481,0.29,0.225,NA
11/24/2025 01:23:30 PM,c1b1 1,239.62,2.172,2.227,2.152,2.206,40.4
11/24/2025 01:24:35 PM,c1b2 1,36.75,2.103,1.52,0.484,0.35,8.42
11/24/2025 01:25:18 PM,c1b3 1,32.61,2.057,2.205,0.296,0.317,NA
11/24/2025 01:26:07 PM,c1b4 1,48.39,2.085,1.819,0.532,0.464,20.2
11/24/2025 01:27:00 PM,c1b5 1,253.61,2.163,2.316,2.19,2.345,44.2
11/24/2025 01:27:47 PM,c1b6 1,24.39,2.047,1.674,0.291,0.238,NA
11/24/2025 01:28:51 PM,c1c1 1,68.5,2.057,1.786,0.767,0.666,21.8
11/24/2025 01:29:51 PM,c1c2 1,65.17,2.012,1.913,0.681,0.648,NA
11/24/2025 01:31:01 PM,c1c3 1,67.3,2.084,1.454,0.926,0.646,20.8
11/24/2025 01:32:13 PM,c1c4 1,149.9,2.155,1.971,1.521,1.391,39.8
11/24/2025 01:33:10 PM,c1c5 1,344.89,2.184,2.248,3.069,3.158,51.8
11/24/2025 01:34:27 PM,c1c6 1,33.55,2.132,0.568,1.182,0.315,7.84
11/24/2025 01:35:35 PM,c1d1 1,36.65,1.991,1.922,0.381,0.368,NA
11/24/2025 01:36:35 PM,c1d2 1,49.95,2.08,1.881,0.531,0.48,NA
11/24/2025 01:39:36 PM,c1d4 1,34.22,2.088,1.014,0.675,0.328,NA
11/24/2025 01:41:33 PM,c1d5 1,145.55,2.119,2.245,1.296,1.374,38.8
11/24/2025 01:42:29 PM,c1d6 1,24.21,1.993,1.108,0.437,0.243,7.96
