"Plot Title: 21820141_pendant3"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Y Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Z Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Coupler Attached (LGR S/N: 21820141)","Host Connected (LGR S/N: 21820141)","Stopped (LGR S/N: 21820141)","End Of File (LGR S/N: 21820141)"
86,11/22/24 03:15:00 PM,-1.100,0.225,0.200,,,,
87,11/22/24 03:30:00 PM,-0.950,-0.075,0.275,,,,
88,11/22/24 03:45:00 PM,-1.025,-0.175,0.175,,,,
89,11/22/24 04:00:00 PM,-0.800,-0.675,0.400,,,,
90,11/22/24 04:15:00 PM,-0.950,-0.200,0.325,,,,
91,11/22/24 04:30:00 PM,-1.000,-0.300,0.250,,,,
92,11/22/24 04:45:00 PM,-1.025,-0.175,0.100,,,,
93,11/22/24 05:00:00 PM,-1.050,-0.175,0.075,,,,
94,11/22/24 05:15:00 PM,-1.075,-0.200,0.075,,,,
95,11/22/24 05:30:00 PM,-1.025,-0.175,0.075,,,,
96,11/22/24 05:45:00 PM,-1.025,-0.225,0.100,,,,
97,11/22/24 06:00:00 PM,-1.050,-0.125,0.075,,,,
98,11/22/24 06:15:00 PM,-1.050,-0.225,0.075,,,,
99,11/22/24 06:30:00 PM,-1.050,-0.200,0.125,,,,
100,11/22/24 06:45:00 PM,-1.025,-0.175,0.125,,,,
101,11/22/24 07:00:00 PM,-1.025,-0.175,0.100,,,,
102,11/22/24 07:15:00 PM,-1.025,-0.150,0.075,,,,
103,11/22/24 07:30:00 PM,-1.050,-0.150,0.125,,,,
104,11/22/24 07:45:00 PM,-1.025,-0.150,0.100,,,,
105,11/22/24 08:00:00 PM,-1.000,-0.175,0.100,,,,
106,11/22/24 08:15:00 PM,-1.100,-0.250,0.100,,,,
107,11/22/24 08:30:00 PM,-1.050,-0.200,0.125,,,,
108,11/22/24 08:45:00 PM,-1.050,-0.150,0.075,,,,
109,11/22/24 09:00:00 PM,-1.025,-0.225,0.050,,,,
110,11/22/24 09:15:00 PM,-1.075,-0.200,0.050,,,,
111,11/22/24 09:30:00 PM,-1.050,-0.175,0.075,,,,
112,11/22/24 09:45:00 PM,-1.050,-0.200,0.050,,,,
113,11/22/24 10:00:00 PM,-1.025,-0.200,0.025,,,,
114,11/22/24 10:15:00 PM,-1.000,-0.200,0.050,,,,
115,11/22/24 10:30:00 PM,-1.025,-0.200,0.100,,,,
116,11/22/24 10:45:00 PM,-1.025,-0.175,0.050,,,,
117,11/22/24 11:00:00 PM,-1.100,-0.175,0.075,,,,
118,11/22/24 11:15:00 PM,-1.075,-0.325,0.175,,,,
119,11/22/24 11:30:00 PM,-0.975,-0.200,0.075,,,,
120,11/22/24 11:45:00 PM,-1.100,-0.200,0.050,,,,
121,11/23/24 12:00:00 AM,-0.775,-0.200,0.300,,,,
122,11/23/24 12:15:00 AM,-1.100,-0.200,0.050,,,,
123,11/23/24 12:30:00 AM,-1.025,-0.150,0.025,,,,
124,11/23/24 12:45:00 AM,-1.025,-0.175,0.075,,,,
125,11/23/24 01:00:00 AM,-1.000,-0.250,0.000,,,,
126,11/23/24 01:15:00 AM,-1.025,-0.275,0.125,,,,
127,11/23/24 01:30:00 AM,-1.075,-0.200,-0.100,,,,
128,11/23/24 01:45:00 AM,-1.100,-0.325,-0.025,,,,
129,11/23/24 02:00:00 AM,-1.050,-0.250,-0.100,,,,
130,11/23/24 02:15:00 AM,-1.000,-0.250,0.100,,,,
131,11/23/24 02:30:00 AM,-1.000,-0.200,0.025,,,,
132,11/23/24 02:45:00 AM,-0.900,-0.175,-0.125,,,,
133,11/23/24 03:00:00 AM,-1.000,-0.225,0.050,,,,
134,11/23/24 03:15:00 AM,-1.000,-0.250,-0.050,,,,
135,11/23/24 03:30:00 AM,-1.050,-0.375,-0.100,,,,
136,11/23/24 03:45:00 AM,-1.050,-0.300,-0.225,,,,
137,11/23/24 04:00:00 AM,-0.925,-0.450,0.425,,,,
138,11/23/24 04:15:00 AM,-1.000,0.025,-0.175,,,,
139,11/23/24 04:30:00 AM,-0.975,-0.275,0.000,,,,
140,11/23/24 04:45:00 AM,-0.825,-0.125,-0.525,,,,
141,11/23/24 05:00:00 AM,-1.125,-0.225,0.000,,,,
142,11/23/24 05:15:00 AM,-0.975,-0.550,0.025,,,,
143,11/23/24 05:30:00 AM,-1.100,-0.375,-0.025,,,,
144,11/23/24 05:45:00 AM,-0.950,-0.475,0.100,,,,
145,11/23/24 06:00:00 AM,-0.850,-0.625,0.275,,,,
146,11/23/24 06:15:00 AM,-1.075,-0.125,0.475,,,,
147,11/23/24 06:30:00 AM,-0.575,-0.500,-0.675,,,,
148,11/23/24 06:45:00 AM,-0.900,-0.525,-0.175,,,,
149,11/23/24 07:00:00 AM,-1.000,-0.100,-0.400,,,,
150,11/23/24 07:15:00 AM,-0.750,0.025,-0.625,,,,
151,11/23/24 07:30:00 AM,-0.925,-0.250,-0.450,,,,
152,11/23/24 07:45:00 AM,-0.975,-0.475,-0.250,,,,
153,11/23/24 08:00:00 AM,0.025,-1.300,-0.075,,,,
154,11/23/24 08:15:00 AM,-0.425,-0.500,-0.775,,,,
155,11/23/24 08:30:00 AM,0.150,0.525,0.850,,,,
156,11/23/24 08:45:00 AM,-0.925,-0.375,-0.400,,,,
157,11/23/24 09:00:00 AM,-0.175,0.025,1.050,,,,
158,11/23/24 09:15:00 AM,-0.800,-0.375,0.500,,,,
159,11/23/24 09:30:00 AM,-0.525,-0.325,0.875,,,,
160,11/23/24 09:45:00 AM,-0.575,-0.975,0.125,,,,
161,11/23/24 10:00:00 AM,-1.075,-0.150,-0.300,,,,
162,11/23/24 10:15:00 AM,-0.600,-0.150,-0.825,,,,
163,11/23/24 10:30:00 AM,-0.975,-0.300,-0.425,,,,
164,11/23/24 10:45:00 AM,-1.025,-0.475,-0.075,,,,
165,11/23/24 11:00:00 AM,-0.975,0.025,-0.425,,,,
166,11/23/24 11:15:00 AM,-0.975,0.075,-0.450,,,,
167,11/23/24 11:30:00 AM,-0.825,-0.325,-0.525,,,,
168,11/23/24 11:45:00 AM,-1.000,-0.275,-0.325,,,,
